scheduler,task,node_id,node_type,node_role,start_min,finish_min,runtime_min,energy_kwh,carbon_g,memory_required_gb,node_memory_gb
green_aware,RawQC,Atlantis_1,Atlantis,compute-oriented,0.0,0.8796296296296295,0.8796296296296295,0.0018816743827160492,0.5003748518518518,2,128
green_aware,Trim,Atlantis_1,Atlantis,compute-oriented,0.8796296296296295,3.5555555555555554,2.6759259259259256,0.005812200308641975,1.545580306074074,3,128
green_aware,Align_4,Atlantis_1,Atlantis,compute-oriented,3.5555555555555554,11.82777777777778,8.272222222222224,0.01883240324074074,5.007912669777778,32,128
green_aware,Align_3,Atlantis_2,Atlantis,compute-oriented,3.5555555555555554,11.131027777777778,7.575472222222222,0.01724619380324074,4.586107856157779,32,128
green_aware,Align_2,Camelot_1,Camelot,memory-rich,3.5555555555555554,11.115743055555553,7.560187499999998,0.016941750171874992,4.505150205704998,32,256
green_aware,Align_1,Camelot_2,Camelot,memory-rich,3.5555555555555554,10.32638888888889,6.770833333333333,0.015172873263888886,4.034770458333333,32,256
green_aware,Filter_4,Atlantis_1,Atlantis,compute-oriented,11.82777777777778,22.21277777777778,10.385,0.019787752083333335,5.261959034000001,6,128
green_aware,Filter_3,Atlantis_2,Atlantis,compute-oriented,11.131027777777778,20.24129166666667,9.11026388888889,0.017358848651620375,4.616065033438891,6,128
green_aware,Filter_2,Olympus_1,Olympus,legacy-balanced,11.115743055555553,21.514550747863247,10.398807692307694,0.012820863317307692,3.409323973338462,6,64
green_aware,Filter_1,Olympus_2,Olympus,legacy-balanced,10.32638888888889,18.753702991452993,8.427314102564104,0.010390176012286327,2.76295560518718,6,64
green_aware,Merge,Sherwood_1,Sherwood,low-power,22.21277777777778,22.26277777777778,0.05,3.6458333333333336e-05,0.009695000000000002,1,32
green_aware,MarkDuplicates,Atlantis_1,Atlantis,compute-oriented,22.26277777777778,28.30907407407408,6.046296296296297,0.010175916666666668,2.7059797600000004,20,128
green_aware,PeakCalling,Sherwood_1,Sherwood,low-power,28.30907407407408,33.82574074074075,5.516666666666667,0.0040804944444444435,1.0850850826666665,2,32
green_aware,Annotation,Sherwood_1,Sherwood,low-power,33.82574074074075,40.61740740740741,6.791666666666666,0.006055902777777777,1.6103856666666667,5,32
green_aware,Report,Atlantis_1,Atlantis,compute-oriented,40.61740740740741,77.71545833333333,37.09805092592592,0.08259327144147054,21.84014737407185,7,128
